"NAME","key","value"
"BURTON","PCTBLACK",27.06
"BUSH","PCTWHITE",71.73
"BUSH","PCTBLACK",22.44
"BUTLER","PCTWHITE",62.36
"BUTLER","PCTBLACK",31.54
"BYRD","PCTWHITE",59.01
"BYRD","PCTBLACK",34.59
"CABRERA","PCTHISPANIC",91.02
"CAIN","PCTWHITE",77.21
"CALDERON","PCTHISPANIC",92.55
"CALDWELL","PCTWHITE",68.05
"CALDWELL","PCTBLACK",26.18
"CALHOUN","PCTWHITE",61.69
"CALHOUN","PCTBLACK",32.99
"CALLAHAN","PCTWHITE",89.8
"CAMACHO","PCTHISPANIC",89.56
"CAMERON","PCTWHITE",75.52
"CAMPBELL","PCTWHITE",73.66
"CAMPBELL","PCTBLACK",20.47
"CAMPOS","PCTHISPANIC",90.52
"CANNON","PCTWHITE",69.78
"CANNON","PCTBLACK",24.5
"CANO","PCTHISPANIC",91.27
"CANTRELL","PCTWHITE",89.67
"CANTU","PCTHISPANIC",90.89
"CARDENAS","PCTHISPANIC",93.7
"CAREY","PCTWHITE",80.9
"CARLSON","PCTWHITE",94.83
"CARPENTER","PCTWHITE",86.21
"CARR","PCTWHITE",73.61
"CARR","PCTBLACK",20.82
"CARRILLO","PCTHISPANIC",93.33
"CARROLL","PCTWHITE",82.95
"CARSON","PCTWHITE",72.25
"CARSON","PCTBLACK",21.67
"CARTER","PCTWHITE",58.2
"CARTER","PCTBLACK",35.59
"CASE","PCTWHITE",92.33
"CASEY","PCTWHITE",86.89
"CASTANEDA","PCTHISPANIC",93.42
"CASTILLO","PCTHISPANIC",90.26
"CASTRO","PCTHISPANIC",87.42
"CERVANTES","PCTHISPANIC",95.31
"CHAMBERS","PCTWHITE",65.7
"CHAMBERS","PCTBLACK",28.5
"CHAN","PCTAPI",89.32
"CHANDLER","PCTWHITE",74.49
"CHANG","PCTAPI",88.84
"CHAPMAN","PCTWHITE",79.51
"CHARLES","PCTBLACK",52.96
"CHARLES","PCTWHITE",33.69
"CHASE","PCTWHITE",81.84
"CHAVEZ","PCTHISPANIC",92.96
"CHEN","PCTAPI",96.12
"CHERRY","PCTWHITE",58.97
"CHERRY","PCTBLACK",35.45
"CHOI","PCTAPI",96.09
"CHRISTENSEN","PCTWHITE",94.42
"CHRISTIAN","PCTWHITE",66.41
"CHRISTIAN","PCTBLACK",24.57
"CHUNG","PCTAPI",90.01
"CHURCH","PCTWHITE",89.18
"CISNEROS","PCTHISPANIC",94.73
"CLARK","PCTWHITE",74.65
"CLARKE","PCTWHITE",61.02
"CLARKE","PCTBLACK",32.1
"CLAY","PCTWHITE",52.74
"CLAY","PCTBLACK",40.5
"CLAYTON","PCTWHITE",69.14
"CLAYTON","PCTBLACK",25.47
"CLEMENTS","PCTWHITE",84.86
"CLINE","PCTWHITE",92.86
"COBB","PCTWHITE",69.98
"COBB","PCTBLACK",24.79
"COCHRAN","PCTWHITE",85.29
"COFFEY","PCTWHITE",88.38
"COHEN","PCTWHITE",88.89
"COLE","PCTWHITE",75.33
"COLEMAN","PCTWHITE",49.43
"COLEMAN","PCTBLACK",44.6
"COLLIER","PCTWHITE",66.97
"COLLIER","PCTBLACK",27.39
"COLLINS","PCTWHITE",71.61
"COLLINS","PCTBLACK",22.43
"COLON","PCTHISPANIC",89.75
"COMBS","PCTWHITE",86.08
"COMPTON","PCTWHITE",87.26
"CONLEY","PCTWHITE",79.78
"CONNER","PCTWHITE",78.57
"CONRAD","PCTWHITE",92.02
"CONTRERAS","PCTHISPANIC",94.64
"CONWAY","PCTWHITE",81.76
"COOK","PCTWHITE",81.8
"COOPER","PCTWHITE",67.93
"COOPER","PCTBLACK",26.13
"COPELAND","PCTWHITE",65.85
"COPELAND","PCTBLACK",28.28
"CORDOVA","PCTHISPANIC",86.51
"CORONA","PCTHISPANIC",90.28
"CORREA","PCTHISPANIC",85.39
"CORTES","PCTHISPANIC",92.4
"CORTEZ","PCTHISPANIC",89.65
"COSTA","PCTWHITE",83.16
"COX","PCTWHITE",82.62
"CRAIG","PCTWHITE",79.03
"CRANE","PCTWHITE",90.11
"CRAWFORD","PCTWHITE",68.56
"CRAWFORD","PCTBLACK",25.65
"CROSBY","PCTWHITE",70.03
"CROSBY","PCTBLACK",24.02
"CROSS","PCTWHITE",75.47
"CRUZ","PCTHISPANIC",87.88
"CUEVAS","PCTHISPANIC",90.24
"CUMMINGS","PCTWHITE",72.52
"CUNNINGHAM","PCTWHITE",73.16
"CUNNINGHAM","PCTBLACK",21.18
"CURRY","PCTWHITE",59.18
"CURRY","PCTBLACK",34.93
"CURTIS","PCTWHITE",77.9
"DALTON","PCTWHITE",86.84
"DANIEL","PCTWHITE",62.84
"DANIEL","PCTBLACK",25.56
"DANIELS","PCTWHITE",54.67
"DANIELS","PCTBLACK",38.54
"DAUGHERTY","PCTWHITE",90.01
"DAVENPORT","PCTWHITE",71.76
"DAVENPORT","PCTBLACK",22.32
"DAVID","PCTWHITE",59.45
"DAVIDSON","PCTWHITE",84.38
"DAVILA","PCTHISPANIC",91.95
"DAVIS","PCTWHITE",62.2
"DAVIS","PCTBLACK",31.6
"DAWSON","PCTWHITE",68.3
"DAWSON","PCTBLACK",25.88
"DAY","PCTWHITE",83.08
"DEAN","PCTWHITE",76.61
"DECKER","PCTWHITE",93.96
"DEJESUS","PCTHISPANIC",83.92
"DELACRUZ","PCTHISPANIC",77.24
"DELAROSA","PCTHISPANIC",88.85
"DELEON","PCTHISPANIC",83.06
"DELGADO","PCTHISPANIC",92.47
"DENNIS","PCTWHITE",65.6
"DENNIS","PCTBLACK",27.84
"DIAZ","PCTHISPANIC",92.56
"DICKERSON","PCTWHITE",62.97
"DICKERSON","PCTBLACK",31.57
"DICKSON","PCTWHITE",75.76
"DILLON","PCTWHITE",84.36
"DIXON","PCTWHITE",54.25
"DIXON","PCTBLACK",39.26
"DODSON","PCTWHITE",81.39
"DOMINGUEZ","PCTHISPANIC",93.09
"DONALDSON","PCTWHITE",72.06
"DONALDSON","PCTBLACK",22.12
"DONOVAN","PCTWHITE",92.94
"DORSEY","PCTBLACK",52.16
"DORSEY","PCTWHITE",41.84
"DOUGHERTY","PCTWHITE",94.37
"DOUGLAS","PCTWHITE",58.62
"DOUGLAS","PCTBLACK",34.67
"DOYLE","PCTWHITE",89.12
"DRAKE","PCTWHITE",79.55
"DUARTE","PCTHISPANIC",79.99
"DUDLEY","PCTWHITE",65.96
"DUDLEY","PCTBLACK",27.67
"DUFFY","PCTWHITE",90.71
"DUKE","PCTWHITE",85.45
"DUNCAN","PCTWHITE",76.39
"DUNLAP","PCTWHITE",75
"DUNN","PCTWHITE",80.08
"DURAN","PCTHISPANIC",87.11
"DURHAM","PCTWHITE",73.03
"DURHAM","PCTBLACK",21.54
"DYER","PCTWHITE",83.22
"EATON","PCTWHITE",85.11
"EDWARDS","PCTWHITE",62.13
"EDWARDS","PCTBLACK",31.63
"ELLIOTT","PCTWHITE",81.62
"ELLIS","PCTWHITE",70.36
"ELLIS","PCTBLACK",23.47
"ELLISON","PCTWHITE",65.84
"ELLISON","PCTBLACK",28.32
"ENGLISH","PCTWHITE",71.37
"ENGLISH","PCTBLACK",22.42
"ENRIQUEZ","PCTHISPANIC",86.51
"ERICKSON","PCTWHITE",95.05
"ESCOBAR","PCTHISPANIC",92.44
"ESPARZA","PCTHISPANIC",94.17
"ESPINOSA","PCTHISPANIC",87.65
"ESPINOZA","PCTHISPANIC",94.91
